Key,File,Type,english

dcsSkillPointDesc,items,Item,"This book is POWER. Reading this for increase skill points."

dcsSkillPoint1,items,Item,"+ 1 Skill Point"
dcsSkillPoint5,items,Item,"+ 5 Skill Point"
dcsSkillPoint10,items,Item,"+ 10 Skill Point"

dcsSkillPoint1,Quest,Challenge Info,"+ 1 Skill Point"
dcsSkillPoint1_offer,Quest,Challenge Info,"Gain 1 Skill Point."
dcsSkillPoint1_subtitle,Quest,Challenge Info,"You have gained 1 Skill Point."

dcsSkillPoint5,Quest,Challenge Info,"+ 5 Skill Points"
dcsSkillPoint5_offer,Quest,Challenge Info,"Gain 5 Skill Points."
dcsSkillPoint5_subtitle,Quest,Challenge Info,"You have gained 5 Skill Points."

dcsSkillPoint10,Quest,Challenge Info,"+ 10 Skill Points"
dcsSkillPoint10_offer,Quest,Challenge Info,"Gain 10 Skill Points."
dcsSkillPoint10_subtitle,Quest,Challenge Info,"You have gained 10 Skill Points."

dcsFiveGlasses,items,Item,"Combo Five glasses"
dcsFiveGlassesDesc,items,Item,"Item for make mod Super Glasses 1.\nCollect the glasses: [ apparelCigar, apparelNerdGlasses, apparelToughGuySunglasses, apparelSkiGoggles, apparelShades ]."

dcsSoul,item_modifiers,Mod,"Soul"
dcsSoulDesc,item_modifiers,Mod,"Soul is power. Is used to increase your own power"

dcsModSuperGlasses1,item_modifiers,Mod,"Mod Super Glasses T1"
dcsModSuperGlasses1Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 1.\n* Buy and Sell at trader in 6%.\n* Gain xp in 20%.\n* Loot game stage in 6."

dcsModSuperGlasses2,item_modifiers,Mod,"Mod Super Glasses T2"
dcsModSuperGlasses2Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 2.\n* Buy and Sell at trader in 9%.\n* Gain xp in 30%.\n* Loot game stage in 9."

dcsModSuperGlasses3,item_modifiers,Mod,"Mod Super Glasses T3"
dcsModSuperGlasses3Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 3.\n* Buy and Sell at trader in 12%.\n* Gain xp in 40%.\n* Loot game stage in 12."

dcsModSuperGlasses4,item_modifiers,Mod,"Mod Super Glasses T4"
dcsModSuperGlasses4Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 4.\n* Buy and Sell at trader in 15%.\n* Gain xp in 50%.\n* Loot game stage in 15."

dcsModSuperGlasses5,item_modifiers,Mod,"Mod Super Glasses T5"
dcsModSuperGlasses5Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 5.\n* Buy and Sell at trader in 18%.\n* Gain xp in 60%.\n* Loot game stage in 18."

dcsModSuperGlasses6,item_modifiers,Mod,"Mod Super Glasses T6"
dcsModSuperGlasses6Desc,item_modifiers,Mod,"This mod increase the list of attributes.\n* [Int, Per, Agi, For, Str] in 6.\n* Buy and Sell at trader in 21%.\n* Gain xp in 70%.\n* Loot game stage in 21."

